iter	Passed	Remaining
463	751	868
464	752	865
465	753	863
466	754	861
467	755	858
468	756	856
469	757	854
470	758	851
471	759	849
472	760	847
473	761	845
474	762	843
475	763	840
476	764	838
477	766	836
478	767	834
479	767	831
480	768	829
481	769	827
482	770	825
483	771	822
484	772	820
485	773	818
486	774	816
487	775	814
488	777	811
489	778	809
490	779	807
491	780	805
492	781	803
493	782	801
494	783	799
495	784	796
496	785	794
497	786	792
498	787	790
499	788	788
500	790	786
501	791	784
502	792	782
503	793	780
504	794	778
505	795	776
506	797	775
507	798	773
508	799	771
509	800	769
510	801	767
511	802	765
512	803	763
513	804	760
514	805	758
515	806	756
516	807	754
517	808	752
518	809	750
519	810	748
520	811	746
521	812	744
522	813	742
523	815	740
524	816	739
525	818	737
526	819	735
527	820	733
528	821	731
529	823	729
530	824	728
531	825	726
532	827	724
533	828	722
534	829	721
535	830	719
536	831	717
537	832	715
538	833	712
539	834	710
540	835	708
541	836	706
542	837	705
543	838	703
544	839	701
545	840	699
546	841	697
547	842	695
548	844	693
549	845	691
550	846	689
551	847	687
552	848	685
553	849	683
554	850	681
555	851	679
556	852	677
557	853	675
558	854	673
559	855	671
560	856	670
561	857	668
562	858	666
563	859	664
564	861	663
565	862	661
566	863	659
567	864	657
568	866	656
569	867	654
570	868	652
571	869	650
572	871	649
573	872	647
574	873	645
575	874	643
576	875	641
577	876	639
578	877	638
579	878	636
580	879	634
581	880	632
582	881	630
583	882	628
584	883	626
585	884	624
586	885	623
587	886	621
588	888	619
589	889	617
590	890	616
591	891	614
592	892	612
593	893	610
594	894	609
595	895	607
596	896	605
597	897	603
598	899	602
599	900	600
600	901	598
601	903	597
602	904	595
603	905	593
604	906	591
605	907	590
606	908	588
607	909	586
608	910	584
609	911	582
610	912	580
611	913	579
612	914	577
613	915	575
614	916	573
615	918	572
616	919	570
617	920	568
618	921	567
619	922	565
620	923	563
621	924	561
622	925	559
623	926	558
624	927	556
625	928	554
626	929	552
627	930	551
628	931	549
629	932	547
630	933	546
631	934	544
632	935	542
633	937	541
634	938	539
635	939	537
636	940	536
637	942	534
638	943	532
639	944	531
640	945	529
641	946	528
642	947	526
643	949	524
644	950	522
645	951	521
646	952	519
647	953	518
648	954	516
649	955	514
650	956	512
651	957	511
652	958	509
653	959	507
654	961	506
655	962	504
656	963	502
657	964	501
658	965	499
659	966	497
660	967	496
661	968	494
662	969	492
663	970	491
664	971	489
665	972	487
666	973	486
667	974	484
668	975	482
669	977	481
670	978	479
671	979	478
672	980	476
673	982	475
674	983	473
675	984	471
676	985	470
677	986	468
678	988	467
679	989	465
680	990	463
681	991	462
682	993	461
683	994	459
684	996	458
685	997	456
686	998	455
687	999	453
688	1001	451
689	1002	450
690	1003	448
691	1004	447
692	1005	445
693	1006	443
694	1007	442
695	1009	440
696	1010	439
697	1011	437
698	1012	435
699	1013	434
700	1014	432
701	1015	431
702	1017	429
703	1018	428
704	1019	426
705	1020	424
706	1021	423
707	1022	421
708	1023	420
709	1024	418
710	1025	416
711	1026	415
712	1027	413
713	1028	412
714	1029	410
715	1030	408
716	1031	407
717	1032	405
718	1033	403
719	1034	402
720	1035	400
721	1036	399
722	1037	397
723	1038	396
724	1040	394
725	1041	392
726	1042	391
727	1043	389
728	1044	388
729	1045	386
730	1046	384
731	1047	383
732	1048	381
733	1049	380
734	1050	378
735	1051	377
736	1052	375
737	1053	373
738	1054	372
739	1055	370
740	1056	369
741	1057	367
742	1058	366
743	1059	364
744	1060	362
745	1061	361
746	1062	359
747	1063	358
748	1064	356
749	1065	355
750	1066	353
751	1067	352
752	1068	350
753	1069	348
754	1070	347
755	1071	345
756	1072	344
757	1073	342
758	1074	341
759	1075	339
760	1076	338
761	1077	336
762	1078	335
763	1079	333
764	1080	332
765	1081	330
766	1082	328
767	1083	327
768	1085	325
769	1086	324
770	1087	322
771	1088	321
772	1089	319
773	1090	318
774	1091	316
775	1093	315
776	1094	314
777	1095	312
778	1097	311
779	1098	309
780	1099	308
781	1100	306
782	1102	305
783	1103	303
784	1104	302
785	1105	301
786	1107	299
787	1108	298
788	1109	296
789	1110	295
790	1112	293
791	1113	292
792	1114	290
793	1115	289
794	1117	288
795	1118	286
796	1119	285
797	1120	283
798	1122	282
799	1123	280
800	1125	279
801	1126	278
802	1127	276
803	1129	275
804	1130	273
805	1131	272
806	1132	270
807	1133	269
808	1134	267
809	1136	266
810	1137	264
811	1138	263
812	1139	262
813	1140	260
814	1141	259
815	1142	257
816	1143	256
817	1144	254
818	1145	253
819	1146	251
820	1147	250
821	1148	248
822	1150	247
823	1151	245
824	1152	244
825	1153	242
826	1154	241
827	1155	240
828	1156	238
829	1157	237
830	1158	235
831	1159	234
832	1160	232
833	1161	231
834	1162	229
835	1163	228
836	1164	226
837	1165	225
838	1166	223
839	1167	222
840	1168	220
841	1169	219
842	1170	218
843	1171	216
844	1172	215
845	1173	213
846	1174	212
847	1175	210
848	1176	209
849	1178	207
850	1179	206
851	1180	205
852	1181	203
853	1182	202
854	1183	200
855	1184	199
856	1185	197
857	1186	196
858	1187	194
859	1188	193
860	1189	192
861	1190	190
862	1191	189
863	1192	187
864	1194	186
865	1194	184
866	1195	183
867	1196	182
868	1197	180
869	1198	179
870	1200	177
871	1201	176
872	1202	174
873	1203	173
874	1204	172
875	1205	170
876	1206	169
877	1207	167
878	1208	166
879	1209	164
880	1210	163
881	1212	162
882	1213	160
883	1214	159
884	1215	157
885	1217	156
886	1218	155
887	1219	153
888	1220	152
889	1221	151
890	1223	149
891	1224	148
892	1225	146
893	1226	145
894	1227	144
895	1228	142
896	1229	141
897	1230	139
898	1231	138
899	1232	136
900	1233	135
901	1234	134
902	1236	132
903	1237	131
904	1238	130
905	1239	128
906	1240	127
907	1242	125
908	1243	124
909	1244	123
910	1245	121
911	1246	120
912	1247	118
913	1248	117
914	1249	116
915	1250	114
916	1252	113
917	1253	111
918	1255	110
919	1256	109
920	1257	107
921	1259	106
922	1260	105
923	1261	103
924	1262	102
925	1263	100
926	1264	99
927	1266	98
928	1267	96
929	1268	95
930	1270	94
931	1271	92
932	1272	91
933	1273	89
934	1274	88
935	1275	87
936	1276	85
937	1278	84
938	1279	83
939	1280	81
940	1281	80
941	1282	78
942	1283	77
943	1284	76
944	1285	74
945	1286	73
946	1287	72
947	1288	70
948	1289	69
949	1290	67
950	1291	66
951	1292	65
952	1293	63
953	1295	62
954	1296	61
955	1297	59
956	1298	58
957	1299	56
958	1301	55
959	1302	54
960	1303	52
961	1304	51
962	1305	50
963	1307	48
964	1308	47
965	1310	46
966	1311	44
967	1312	43
968	1313	42
969	1314	40
970	1315	39
971	1316	37
972	1318	36
973	1319	35
974	1320	33
975	1321	32
976	1322	31
977	1323	29
978	1324	28
979	1325	27
980	1326	25
981	1327	24
982	1328	22
983	1330	21
984	1331	20
985	1332	18
986	1333	17
987	1334	16
988	1335	14
989	1336	13
990	1337	12
991	1339	10
992	1340	9
993	1342	8
994	1343	6
995	1344	5
996	1345	4
997	1347	2
998	1348	1
999	1349	0
